return_type,parameter,releases_and_transfers,units
Landfill gas flare,^HCH-gamma,...,...
Landfill gas flare,^Thorium 232,...,...
Landfill gas flare,^Non-methane VOCs,...,...
Landfill gas flare,^Octylphenols and octylphenol ethoxylates,...,...
Landfill gas flare,^Mirex,...,...
Landfill gas flare,^Nickel,...,...
Landfill gas flare,^Cobalt 58,...,...
Landfill gas flare,^Caesium 137,...,...
Landfill gas flare,^Copper,...,...
Landfill gas flare,^Net Water Used,...,...
Landfill gas flare,^Mercury,...,...
Landfill gas flare,^Annual energy input,...,...
Landfill gas flare,^Anthracene,...,...
Landfill gas flare,^Water Abstracted from Mains Water Source,...,...
Landfill gas flare,^Hexabromobiphenyl,...,...
Landfill gas flare,^Sodium 22,...,...
Landfill gas flare,^Hydrogen cyanide,...,...
Landfill gas flare,^Diuron,...,...
Landfill gas flare,^Thallium 201,...,...
Landfill gas flare,^Lead,...,...
Landfill gas flare,^Other Beta/Gamma Particulate,...,...
Landfill gas flare,^Chlordane,...,...
Landfill gas flare,^Strontium 89,...,...
Landfill gas flare,^hazardous waste,...,...
Landfill gas flare,^Di-n-octyl phthalate,...,...
Landfill gas flare,^Curium 242,...,...
Landfill gas flare,^Net Energy Input Natural gas,...,...
Landfill gas flare,^Water Abstracted from Borehole Source,...,...
Landfill gas flare,^Non-Fossil Fuel Consumption,...,...
Landfill gas flare,^Haz Waste Transferred for Recovery at another Installation,...,...
Landfill gas flare,^Arsenic,...,...
Landfill gas flare,^Xenon 133,...,...
Landfill gas flare,^Antimony 125,...,...
