return_type,parameter,releases_and_transfers,units
Landfill gas flare,^Total Alpha,...,...
Landfill gas flare,^Argon 41,...,...
Landfill gas flare,^Uranium Alpha,...,...
Landfill gas flare,^Endosulfan,...,...
Landfill gas flare,^Halons,...,...
Landfill gas flare,^Organotin compounds - as Sn,...,...
Landfill gas flare,^Dioxins and furans (PCDDs/PCDFs) - as ITEQ,...,...
Landfill gas flare,^Benzo[b]fluoranthene,...,...
Landfill gas flare,^Benzo[a]pyrene,...,...
Landfill gas flare,^Ethylbenzene,...,...
Landfill gas flare,^Mechanical Power Provided,...,...
Landfill gas flare,^Total Annual SO2 emission,...,...
Landfill gas flare,^Total Annual Dust emission,...,...
Landfill gas flare,^Sulphur oxides (SO2 and SO3) as SO2,...,...
Landfill gas flare,^Heat Exported,...,...
Landfill gas flare,^Tritium,...,...
Landfill gas flare,^Endrin,...,...
Landfill gas flare,^Waste Recovered to Quality Protocol and Transferred Off-Site,...,...
Landfill gas flare,^Indium 111,...,...
Landfill gas flare,^Samarium 153,...,...
Landfill gas flare,^Oxides Of Nitrogen (NOX),...,...
Landfill gas flare,^Chloroethene,...,...
Landfill gas flare,^Tetrachloromethane,...,...
Landfill gas flare,^Technetium 99,...,...
Landfill gas flare,^Pentachlorophenol,...,...
Landfill gas flare,^Ammonia,...,...
Landfill gas flare,^Fluoranthene,...,...
Landfill gas flare,^DDT (Dichlorodiphenyltrichloroethane),...,...
Landfill gas flare,^Pentachlorobenzene,...,...
Landfill gas flare,^Carbon Dioxide From Qualifying Renewable Fuel Sources,...,...
