EA_ID,SITE,ALTERNATIVES
27301,Willow Farm Landfill Site,L/WK/T/221
30192,The Lea Landfill,1.056.52  (30192)
37005,Rhoswiel Sawmill,A25/30/SL/12
37006,E T C Sawmills,A25/30/SL/21
40704,Armitage Ware - Rugeley Landfill Site,8E770008
40712,Sons - Brownhills Tileries Landfill Site,3E770027
40752,C E M E X - Weeford Quarry,8A770113
40820,Apollo Sports - Paddock Works,SL0137
40919,Rover Group - Lode Lane Landfill Site,SL0162
41005,Staffordshire C C - Crackley Gates Landfill Site,2D800179
41011,Lichfield D C  Christian Fields Landfill Site,8A800190
41013,Dudley Zoo - The Bearpit,SL0331
41021,S T W - Ray Hall Reclamation Works,SL0352
41108,R M Douglas - Stubbers Green Road Landfill Site,SL0346
41112,Brindley Asphalt - Pennymore Hay Farm Landfill Site,6A810203
41205,S T W - Foxyards Landfill Site,SL0380
41302,Holmes - Brookside Farm Landfill Site,6A830230
41406,Staffordshire C C - Hopton Railway Cutting,4D840243
41421,H Transport - Blackflatts Farm,8D840259
41517,Challinor - Within Lane Landfill Site,4A850273
41601,H - Colton Hall Farm Landfill Site,8A860284
41603,Biffa - Newstead Landfill Site,3D860292
41703,Roarty - Tanworth Lane Farm Landfill Site,SL0542
41818,Derbyshire C C - Birchwood Quarry,SLD00LS26
42000,Biffa  Dosthill Landfill Site,9F970621
42003,Jeffery - Swinholm Farm Lagoon,SLD00TN01
42017,Peters - Whitby Riding Stables,SL0889
42116,Sons Limited - Chatterley Quarry,2A910356
42162,Leicestershire C C - Church Road Landfill Site,SLL000251
42205,Mark Smith Transport  Dunstall Pool,8A920410
42240,Boydon - The Old Mineral Line,6A920439
42291,Mintworth Quays - Rattlechain Tip,SL0947
42294,Chelson Properties - Dividy Road Landfill Site,3D920465
42309,Weaver - Lavender Hall Farm Landfill Site,SL1017
42313,Tarmac - Kevin Quarry,5A930478
42331,B W B - Fishley Lane Landfill Site,SL1035
42395,E A - Lea Marston Purification Lakes,SLW0468
42400,P - Dilhorne Lane Landfill Site,1A930536
42416,Cory - Leabrook Repository,SL1230
42422,Dawkes - Hundred Acre Farm Landfill Site,4A930541
42466,New Haden Metals - Oakhill Landfill Site,1A930558
42492,Fallows - Booths Farm Landfill Site,1A930562
42498,John Heath - Park Hall Farm Landfill Site,1A940565
42506,Hanson Coneybury Farm Landfill Site,8A970620
42652,Hepworth Building Products - Woodville Works,SLL000096
42708,Dudley M B C - Castlegate Landfill Site,SL2027
42713,Hanson Middleton Hall Pit,8A950592
43021,Bestwood Landfill,7/88/194/54NE
43061,Trent Concrete,7/96/462/64SW
43085,Land Off A614,WD20 D695
43087,Tipping Services Construction Ltd,WD20D354
43095,Brigg Road,55/19/745
43098,Goodwin Ltd,55/19/100
43111,West Bank Of River Trent British Waterways,1/92/289/88SW
43145,Girton Quarry,3/95/450/86NW
43146,J C Hewitt Landfill Inert,L185
43163,Disused Railway Cutting,SLD00LE10
43164,Leen Valley Branch Line Landfill,SLD00LS60
