"EA_ID","SITE","ALTERNATIVES"
"GP3037SJ","Lillyhall Stage 3 Landfill Site",
"GP3431LF","Buckden Effluent Treatment Plant",
"GP3537PU","Henthorn Road Landfill EPR/GP3537PU",
"GP3937PZ","GUP EPR/GP3937PZ",
"JP3238WF","Narborough GUP EPR/CB3207SE",
"KP3734LL","DEERPLAY LANDFILL",
"LP3031LK","Small Dole Leachate Treatment Plant",
"LP3032UR","Waresley Landfill EPR/LP3032UR",
"LP3236XH","Ockendon Power Plant EPR/LP3236XH/V004",
"LP3437UZ","DARRINGTON NORTH LANDFILL",
"LP3530BX","Carnaby Landfill Site  EA/EPR/LP3530BX/V004",
"LP3939HN","Boston Landfill EPR/XP3298NJ",
"MP3435KP","Elsenham Landfill EPR/MP3435KP",
"MP3439MH","United Mines Landfill EPR/MP3439MH",
"MP3631LY","Vigo Utopia Leachate Treatment Plant",
"MP3933CJ","Burghfield Landfill Site A EPR/MP3933CJ",
"NP3135SL","Highfields South Landfill Site",
"NP3139PK","Harmondsworth Landfill Site",
"NP3235SU","Hempsted Landfill Site",
"NP3435PX","Ufton Farm Landfill Site",
"NP3538MF","Daneshill Landfill Site",
"NP3635SZ","Kingsbury Landfill EPR/NP3635SZ",
"NP3736DS","Bellhouse Landfill EPR/NP3736DS",
"NP3736GU","III Landfill",
"PP3032SY","Deerplay Landfill Gas Utilisation Scheme",
"PP3133TS","LEADENHAM LANDFILL",
"PP3139DJ","GREATNESS QUARRY INTEGRATED WASTE MANAGEMENT FACILITY",
"PP3430BK","Kirkby on Bain Landfill site",
"PP3532MB","Amberswood Leachate Treatment Plant",
"PP3630BC","Kenwick Landfill EPR/PP3630BC",
"PP3632ML","Ulnes Walton Leachate Treatment Plant EPR/PP3632ML",
"PP3734SE","Cranford Landfill Site EPR/PP3734SE",
"PP3735SW","Ugley Landfill",
"PP3830BV","Immingham Landill Site",
"PP3939DN","Barling Marsh Landfill EPR/LP3236SU",
"QP3033BG","Bramford Landfill EPR/QP3033BG",
"QP3539XL","Winterton North Landfill EPR/QP3539XL",
"QP3730DW","MUCKING LANDFILL",
"QP3931PF","Winterton Effluent Treatment Plant  EA/EPR/QP3931PF/V002",
"RP3530BC","Broadpath Landfill EPR/RP3530BC",
"RP3732SZ","Buckden North Landfill EPR/RP3732SZ",
"RP3738ZK","Enderby Leachate Treatment Plant EPR/RP3738ZK",
"SP3035SX","Wingmoor Farm Landfill Site",
"SP3131GC","Runfold South Landfill Areas A and C EPR/SP3131GC",
"SP3538LE","Efford Landfill - Leachate Treatment Plant",
"TP3330AT","Sutton Courtenay Landfill - Phase 3 EPR/TP3330AT",
"TP3433GQ","Kibblesworth LTP EPR/TP3433GQ",
"TP3631LM","Kirkless Leachate Treatment Plant EPR/TP3631LM/V002",
"TP3838PS","Standen Heath Landfill Site",
"TP3931LH","Holiday Moss Leachate Treatment Plant",
"UP3139BB","Dimmer Landfill Site",
"UP3630KS","Highmoor Quarry Landfill",
"UP3639LY","DANES MOSS LANDFILL",
"UP3832MC","Kendal Fell Leachate Treatment Plant",
"UP3939MM","Connon Bridge Landfill EPR/UP3939MM",
"VP3036GQ","Sandy Lane Landfill Site",
"VP3039SW","Beddington Farmlands Landfill Site",
"VP3230BH","GALLYMOOR LANDFILL",
"VP3736TS","Blackborough End Landfill Gas Utilisation Plant EPR/VP3736TS",
"WP3130XG","Kinderton Landfill Site",
"WP3139LZ","Shakespeare Farm Landfill  EPR/WP3139LZ",
"WP3330BZ","Welbeck Landfill Site",
"WP3438KV","Springfield Farm Landfill",
"WP3439SS","Norwood Farm Landfill (East) EPR/WP3439SS",
"XP3032MQ","Clifton Marsh Leachate Treatment Plant EPR/XP3032MQ",
"XP3434HX","Shelford Landfill Site",
"XP3636KW","Gerrards Cross Landfill",
"YP3030BT","Gainsborough Landfill EPR/YP3030BT",
"YP3036FB","Blackborough End Landfill EPR/JP3992NH",
"YP3439SM","Wingmoor Quarry Landfill",
"YP3638SX","Seghill LF EPR/YP3638SX",
"ZP3035PH","Tatchells Landfill Site",
"ZP3232SF","Hartlebury Landfill Site",
10040,"D-shaped Field","HP3695HS"
19436,"Norwood Farm Landfill  (west)","ZP3198HV"
19488,"Stangate Landfill","AP3198HE"
19502,"Offham Landfill","AP3297SS"
19514,"Allington Landfill","YP3398HR"
19620,"Pebsham Landfill Site","XP3794HA"
19633,"Beddingham Landfill Site","KP3994HT"
19674,"Capel Landfill Site","CP3994HB"
19679,"Windmill Quarry Landfill Site","CP3694HR"
19810,"Land Adjacent To Bunny Lane","PP3792HX"
19814,"Ridge Lane Closed Landfill Site","BP3592HC"
19823,"Land At Wynford Farm","SP3992HZ"
19828,"Manor Farm Landfill Site","SP3292HQ"
19836,"Bunny Lane Landfill Site","LP3892HM"
19837,"Sherfield English Landfill Site","LP3492HD"
19852,"Wickham Vineyard","MP3792HL"
19853,"North East Of Wickham Vineyard","UP3392HL"
19858,"Landfill At Raglington Farm","UP3492HU"
19861,"Frith Lane","UP3192HQ"
19874,"Efford Landfill Site","GP3092HG"
19923,"Netley Landfill","FP3292HH"
19925,"Netley Farm Landfill And Composting Site","FP3192HK"
20519,"Lean Farm Landfill","UP3596HE"
23505,"Somerley Landfill","NP3697HC"
23526,"Tatchells Landfill And Transfer Station","VP3397HN"
23527,"Stokeford Heath Landfill Site","VP3097HK"
23528,"Civic Amenity Site","BB3600CV"
23529,"Bothenhampton Landfill - Closed","BB3602MX"
23630,"Hines Pit Landfill Site  - Closed","BP3693FN"
23669,"Chapel Lane Landfill Site","MP3793FL"
40003,"Judkins Landfill Phase 3","AP3294SD"
42161,"Judkins Landfill Site","AP3296LW"
42565,"Bretby 2 Landfill Site","DP3791FN"
42656,"Bretby No 1 Landfill Site","UP3597FE"
43012,"Carlton Forest Landfill","TP3297FK"
43019,"Burntstump Landfill Site","HP3597FS"
43055,"Fiskerton Landfill Site","ZP3497FA"
43088,"Finningley Landfill Site","VP3497FN"
43153,"Sutton Quarry Landfill Site","JP3597FM"
