permit,long_name
BV9756IE,BV9756IE - BAE SYSTEMS LANDFILL
BW0037IA,BW0037IA - Bubbenhall Landfill Site
BW0096IJ,BW0096IJ - Meece II Landfill Site
BW0231IH,BW0231IH - Southfield Wood Landfill Site
BW0240IT,BW0240IT - Hermitage Landfill
BW0509IU,BW0509IU - Bradgate Landfill Site
BW0533ID,BW0533ID - PACKINGTON LANDFILL
BW0584IL,BW0584IL - POPLARS LANDFILL SITE
BW0983IT,BW0983IT - Parkwood Road Landfill Site
BW0991IX,BW0991IX - ERIN LANDFILL
BW1009ID,BW1009ID - Barnsdale Bar Landfill
BW1157IQ,BW1157IQ - Meece 3
BW1416IQ,BW1416IQ - ARDEN QUARRY LANDFILL
BW1785IH,BW1785IH - Winterton South Landfill
BW1807IK,BW1807IK - NORTH HERTS  LANDFILL
BW2072IN,BW2072IN - Marks Quarry Landfill Site
BW2145IR,BW2145IR - Longhill Landform
BW2188IU,BW2188IU - Allerton Park Landfill Site
BW2277IM,BW2277IM - Whitehead Landfill Site
BW2811IJ,BW2811IJ - Grunty Fen Landfill Site
BW2838IN,BW2838IN - Feltwell Landfill Site
BW2862IU,BW2862IU - Somersham Landfill Site
BW2943IG,BW2943IG - FOXHALL LANDFILL SITE
BW2951IM,BW2951IM - Roxby Landfill Site
BW2978ID,BW2978ID - Whisby Landfill
BW2986IW,BW2986IW - North Hykeham Landfill Site
BW3125IA,BW3125IA - Staple Quarry Landfill Site
BW9549IA,BW9549IA - Tinsley Park Works Landfill Site
BX0792IX,BX0792IX - KILSBY PHASE VII LANDFILL SITE
BX1942IX,BX1942IX - Milegate Extension Landfill Site
BX2388IF,BX2388IF - CROFT FARM LANDFILL SITE
BX4054ID,BX4054ID - Trigon Landfill Site
BX7886IJ,BX7886IJ - LYME AND WOOD PITS
CP3035PF,CP3035PF - Chapel Farm Phase 2 Landfill Site
CP3232FQ,CP3232FQ - GILBERDYKE LANDFILL
CP3438UX,CP3438UX - Barling LFG Generation Plant
CP3536XG,CP3536XG - RUSHTON LANDFILL SITE
DP3236HH,DP3236HH - Avonmouth Resource Park Project
DP3238SB,DP3238SB - Ellington Road Landfill Site
DP3333KT,DP3333KT - Kirkby Thore Works Landfill Site
DP3335ME,DP3335ME - Southam Landfill
DP3439AZ,DP3439AZ - Edgefield Landfill Site
DP3639LM,DP3639LM - WHITEMOSS LANDFILL
DP3736FA,DP3736FA - Blackborough End Landfill (Red Land)
DP3834GW,DP3834GW - SOUTHWOOD LANDFILL SITE
DP3836LS,DP3836LS - Carlton Forest Landfill Site
DP3939SW,DP3939SW - Bellhouse Landfill Site
EP3038GH,EP3038GH - Burghfield Landfill Gas Utilisation
EP3038LE,EP3038LE - Winterton Gas Utilisation Plant
EP3135PE,EP3135PE - Tripcock Point
