permit,long_name
41602,41602 - Griff No 2 Landfill Site
41603,41603 - Biffa - Newstead Landfill Site
41703,41703 - Roarty - Tanworth Lane Farm Landfill Site
41713,41713 - Gallows Lane Landfill
41816,41816 - Nadins Landfill Site
41818,41818 - Derbyshire C C - Birchwood Quarry
41903,41903 - Newbold Quarry
42000,42000 - Biffa  Dosthill Landfill Site
42003,42003 - Jeffery - Swinholm Farm Lagoon
42017,42017 - Peters - Whitby Riding Stables
42116,42116 - Joseph Kimberley & Sons Limited - Chatterley Quarry
42124,42124 - Alrewas Quarry ( Phase 1 )
42149,42149 - C E M E X  Coleshill Quarry
42161,42161 - Judkins Landfill Site
42162,42162 - Leicestershire C C - Church Road Landfill Site
42205,42205 - Mark Smith Transport  Dunstall Pool
42220,42220 - Ibstock Brick - Redhurst Quarry
42240,42240 - Boydon - The Old Mineral Line
42291,42291 - Mintworth Quays - Rattlechain Tip
42294,42294 - Chelson Properties - Dividy Road Landfill Site
42309,42309 - Weaver - Lavender Hall Farm Landfill Site
42313,42313 - Tarmac - Kevin Quarry
42331,42331 - B W B - Fishley Lane Landfill Site
42344,42344 - C S G - Wyrley Grove Landfill
42351,42351 - Staffordshire C C - Fowlchurch Landfill Site
42355,42355 - Biffa - Marchington Landfill Site
42359,42359 - Biffa  Poplars Landfill Site
42367,42367 - Bowmans Harbour
42395,42395 - E A - Lea Marston Purification Lakes
42400,42400 - P & P - Dilhorne Lane Landfill Site
42402,42402 - Blue Button Landfill Site
42416,42416 - Cory - Leabrook Repository
42422,42422 - Dawkes - Hundred Acre Farm Landfill Site
42466,42466 - New Haden Metals - Oakhill Landfill Site
42492,42492 - Fallows - Booths Farm Landfill Site
42498,42498 - John Heath - Park Hall Farm Landfill Site
42506,42506 - Hanson Coneybury Farm Landfill Site
42565,42565 - Bretby No 2 Landfill Site
42611,42611 - Heather Quarry Landfill
42652,42652 - Hepworth Building Products - Woodville Works
42656,42656 - W R G  Bretby No 1 Landfill Site
42660,42660 - Bowmans Harbour
42662,42662 - Peak Waste Recycling Ltd
42708,42708 - Dudley M B C - Castlegate Landfill Site
42713,42713 - Hanson Middleton Hall Pit
42800,42800 - Alrewas Quarry
42814,42814 - Biffa - Saredon Hill Quarry
42901,42901 - Aldridge Quarry - Inert Waste Landfill Site
43012,43012 - Carlton Forest Landfill
43017,43017 - Butterley Brickworks Quarry
43019,43019 - Burntstump Landfill Site
43021,43021 - Bestwood Landfill
43022,43022 - Newark Sugar Factory
43034,43034 - Coneygre Farm
43054,43054 - Newark Sugar Factory
43055,43055 - Fiskerton Landfill Site
43061,43061 - Trent Concrete
43085,43085 - Land Off A614
43086,43086 - Bawtry Carbon International Ltd
43087,43087 - Tipping Services Construction Ltd
43088,43088 - Finningley Landfill Site
43095,43095 - Brigg Road
43097,43097 - Crosby Warren Landfill
43098,43098 - Hornsby & Goodwin Ltd
43111,43111 - West Bank Of River Trent British Waterways
43113,43113 - Tudworth Landfill
43114,43114 - Higgins Landfill Finningley
43115,43115 - Old Bank Farm Landfill  D G Brownbridge
43125,43125 - Scunthorpe Works
43136,43136 - Bawtry Carbon International Ltd
43144,43144 - Rampton Gravel Pit
43145,43145 - Girton Quarry
43146,43146 - J C Hewitt Landfill Inert
43147,43147 - Bessemer Way Landfill
43148,43148 - Rampton Gravel Pit Ash Lagoon No 1
43153,43153 - Sutton Quarry Landfill Site
43159,43159 - Kiveton Park Steel Limited
43163,43163 - Disused Railway Cutting
43164,43164 - Leen Valley Branch Line Landfill
43165,43165 - Lords Wood Quarry Landfill
43166,43166 - Daneshill Landfill Site
43170,43170 - Cavendish Lodge Farm
43175,43175 - Girton Quarry Site
43180,43180 - Vale Road Quarry
43183,43183 - Rufford Colliery Complex
43191,43191 - Scrooby Quarry
43192,43192 - Land Adjacent To Boynton Brothers & Hallam
43196,43196 - Carlton Forest Quarry
43204,43204 - Harrycroft Landfill Site
43210,43210 - Calton Hill Landfill
43212,43212 - Outland Head Quarry
43218,43218 - Derbyshire Aggregates Ltd
43219,43219 - Tearsall Farm Site
43221,43221 - White Rake
43225,43225 - Export Drive
43226,43226 - Lumshill Quarry
43227,43227 - Sutton Landfill Site
43230,43230 - Friden Pit
43231,43231 - Coxbench Quarry Landfill
43232,43232 - Hilts Quarry Landfill
43233,43233 - F H Drabble
43235,43235 - Hope Cement Works
43236,43236 - Exchem Explosives Limited
43244,43244 - Hilton Borrow Pit Landfill
43248,43248 - Lount Landfill Site
43251,43251 - Derby Quarry
43256,43256 - Elvaston Quarry
43270,43270 - Megaloughton Lane Landfill Site
43271,43271 - Chaddesden Sidings Landfill
43273,43273 - A E Hibbs & Sons Ltd  Ford Lane
43276,43276 - Pride Park Waste Repository
43281,43281 - Veolia Es Cleanaway ( U K ) Limited - Mountsorrel Quarry
43282,43282 - Bescaby Landfill Site
43286,43286 - Shepshed Landfill Site
43294,43294 - Beacon Road Landfill Site
43296,43296 - Cossington Landfill
43298,43298 - Sandfield Quarry
43321,43321 - Huncote Quarry
43331,43331 - F E Downes Ltd
43353,43353 - Dunton Bassett Landfill Site
43366,43366 - Enderby Warren
43372,43372 - Frolesworth Road
43374,43374 - Narborough Landfill Site
43397,43397 - Cotes Park Industrial Estate
43398,43398 - Amber Valley
43405,43405 - Bramcote Quarry Landfill
43410,43410 - Staple Opencast Mine
43412,43412 - British Waterways
43413,43413 - Lindleys Lane
43418,43418 - Safewaste Limited - Bunny Landfill
43420,43420 - Winking Hill  Gypsum Disposal Site
43421,43421 - Land At Bowbridge Lane Balderton Newark
43435,43435 - Barnstone Landfill Site
43436,43436 - Grove Farm Tip
43440,43440 - Staple Quarry Landfill Site
43442,43442 - Bassingfield Gravel Pit ( Disused)
43460,43460 - Carr Lane Landfill
43463,43463 - British Sugar Borrow Pits
43466,43466 - Lea Road Landfill
43478,43478 - Brickyard Farm Lums Hill
43481,43481 - Shuttle Rake
43482,43482 - Meadow Lane Quarry
43490,43490 - Moor Farm
43497,43497 - Ibstock Building Products
43502,43502 - Dorket Head Landfill
43564,43564 - Pride Park Repository
43565,43565 - Rampton Lagoons
43566,43566 - Huncote Quarry
43567,43567 - Shardlow Landfill
43569,43569 - Thurcroft
43703,43703 - Dorket Head Landfill
43704,43704 - Bradgate Landfill
43762,43762 - Serlby Landfill
43765,43765 - Cranebrook Quarry Landfill
46010,46010 - Bayer Uk Ltd - Landfill Stoke Works
46011,46011 - C E M E X - Shepley Quarry  Landfill
46013,46013 - Mill Farm Sandpit Landfill  ( Pinches 2)
46016,46016 - Veolia E S Cleanaway ( U K) Limited
46020,46020 - Penny Hill Quarry Landfill
46032,46032 - Stourhill Quarry Landfill
46033,46033 - Summerway Landfill
46034,46034 - Lye Forge Landfill
46036,46036 - Lickhill Quarry Landfill
46038,46038 - Brant Farm Landfill
46039,46039 - Doddingtree Farm Landfill
46052,46052 - Dudley Drop Forgings Ltd Landfill
46053,46053 - Shaw Brothers Landfill
46055,46055 - Landfill At Rear Of Moonraker House
46058,46058 - Drawisle Ltd Landfill
46133,46133 - Hanson ( W R G ) Landfill
46134,46134 - Seisdon Landfill Site
46136,46136 - Blackhills Quarry Landfill
46138,46138 - Enville Road Sand Quarry Landfill
46139,46139 - Stewponey Landfill
46143,46143 - Severn Trent Water Ltd Screenings Tip Landfill
46147,46147 - High Down Quarry Landfill
46148,46148 - Himley Wood Landfill
46149,46149 - Himley Wood Landfill  Phase 3d
46155,46155 - Stewponey Landfill Site
47002,"47002 - B J Challinor, Landfill"
47005,"47005 - Upper Whittimere Quarry, Landfill"
47006,47006 - Devil's Dingle Landfill
47007,47007 - British Sugar Plc Landfill
47011,47011 - Telford & Wrekin Council Landfill
47013,47013 - Coalmoor Landfill Site
47017,47017 - Silvertrees Landfill
47025,47025 - Wellings Ltd Landfill
47043,47043 - Preeshenlle Landfill Site
47051,47051 - Aldon Landfill Site
47052,47052 - Heathgates Landfill Site
47053,47053 - Barnsley Lane Landfill Site (de-conditioned)
47055,47055 - Granville Transfer And Treatment Facility
47061,47061 - Dorrington Sand Quarry Landfill
47108,47108 - Saint Gobain Pipelines Plc
47171,47171 - Granville / Woodhouse Landfill ( P P C Permit B U 71031 C )
47173,47173 - Barnsley Lane L/fill ( P P C Permit B U 5992 I T ) Shropshire
47190,47190 - New Acres Landfill Site
47195,47195 - Edwin Richards Landfill ( P P C Permit No B U 0834 I P )
47197,47197 - Ironbridge B Power Station
48007,48007 - Standle Farm Landfill Site
48012,48012 - Hawkwell Shaft Landfill Site
48013,48013 - Tutnalls
48018,48018 - Drymeadow Farm Landfill Site
48019,48019 - Dorn Fields Landfill Site
48020,48020 - Walton Hill Farm
48022,48022 - Cotstone Quarry Landfill Site
48024,48024 - Cotswold Skip Hire
48027,48027 - Brook Villa Farm Landfill Site
48047,48047 - Woolgaston Farm
48050,48050 - Brockworth Bypass
48089,48089 - Cotesbach Landfill Site
48090,48090 - Welford Quarry   Biffa
48092,48092 - Welford Quarry Landfill
48096,48096 - Daventry Rail Freight Terminal
48100,48100 - Frog Hall Landfill Site
48101,48101 - Southam Landfill
48103,48103 - Rock Farm Landfill Site
48104,48104 - Ryton Wood 4 Landfill
48107,48107 - Sandy Lane Landfill
48118,48118 - Glebe Farm Landfill
48119,48119 - Marsh Farm Landfill
48124,48124 - Kingston Grange Farm Landfill
48165,48165 - Hill & Moor Landfill Site
48166,48166 - Strensham W T W
48183,"48183 - Burfords, Watermead Meadow"
48185,48185 - The Perry Way Landfill
48188,48188 - Colethrop Court Farm Landfill
48192,48192 - Kingston Grange Farm Landfill
48277,48277 - Wingmoor Farm Landfill ( PPC Permit  SP3035SX )
48278,48278 - Landfill Site At Throckmorton Rd ( Permit Permit ZP3933LD )
48279,48279 - Frampton Landfill ( PPC Permit BK3166IP )
50071,50071 - Sleepy Meadow Pet Cemetery
50400,50400 - Maw Green Landfill Permit
50468,50468 - Berks Quarry
50470,50470 - Woolston Deposit Ground
50490,50490 - Southworth Quarry Landfill P P C
50535,50535 - Hilltop Farm Brinefield
50536,50536 - Holford Brinefield Landfill Site
53425,53425 - Bethell Construction Landfill Site
53439,53439 - Wharf Street Landfill Site
53470,53470 - Sandy Lane Landfill Site
53477,53477 - Meek Street Landfill Site
53505,53505 - Tenement Lane Landfill Site
53526,53526 - Former Borrow Pit Site
53533,53533 - Arden Quarry Landfill
53542,53542 - Holiday Moss Landfill Site
53545,53545 - Danes Moss Landfill Site
53552,53552 - Rakehead Lane Landfill Site
53554,53554 - Bromborough Dock North Landfill Site
53558,53558 - Greenside Farm Landfill Site
53562,53562 - Southworth Quarry Landfill Site
53568,53568 - Woodend Farm Landfill Site
53571,53571 - Hazel Knoll Farm Inert Landfill Site
53572,53572 - Weston Marsh Lagoons
53573,53573 - J H & D J Willis
53584,53584 - Hapsford Landfill Site
53624,53624 - Lumns Lane Landfill Site
53625,53625 - Offerton Sand & Gravel Landfill Site
53632,53632 - R J Mason Inert Landfill
53637,53637 - Green Farm Landfill Site
53646,53646 - Billinge Hill Quarry Landfill Site
53647,53647 - Prettywood Easterly Extension Landfill Site
53648,53648 - Amberswood Landfill
53651,53651 - Chadderton Landfill Site
53658,53658 - Springside Mills Landfill Site
53662,53662 - Landfill Site Between Rhodes & Higher Blackley
53693,53693 - Fletcher Bank Quarry Landfill
53702,53702 - Piethorne Wastewater Treatment Works Landfill
53704,53704 - Bromborough Dock South Inert Landfill
53710,53710 - British Salt Ltd
53712,53712 - Garnet Fold Landfill Site
53719,53719 - Frodsham Marsh Lagoons
53720,53720 - Harwood Quarry
53728,53728 - Ashfield Valley Inert Landfill Site
53737,53737 - Holcroft Hall Quarry Landfill Site
53739,53739 - Street Lane Farm Landfill Site
53745,53745 - Duckworth Clough Landfill Site
53749,53749 - A M E C Landfill Site South
53751,53751 - Trent & Mersey Canal Lagoon
53755,53755 - Hooton Brickworks Landfill Site
53761,53761 - Tameside M B C Inert Landfill Site
53762,53762 - Shropshire Canal Landfill Site
53765,53765 - Tarmac Construction Landfill Site
53770,53770 - Hough Mill Quarry South Landfill Site
53771,53771 - Acton Bridge Dredging Tip
53779,53779 - Longson Street Disused Reservoir Landfill
53782,53782 - Handforth Road Landfill Site
53788,53788 - Endon Quarry
53801,53801 - Pepper Street Landfill
53802,53802 - Griffiths Road Limebeds
53836,53836 - Norbury House Farm Landfill Site
53842,53842 - Golden Nook Dredging Landfill Site
53877,53877 - Chulsey Gate Landfill Site
53878,53878 - Higher Hills Farm Inert Landfill
53888,53888 - Wallerscote Limebeds
53889,53889 - Medlock Vale Farm Inert Landfill Site
53894,53894 - Spooner Vicars Landfill Site
53902,53902 - Northern Land Agricultural Improvements Landfill Site
53907,53907 - Moreton Landfill
53916,53916 - Crompton Effluent Treatment Works
53919,53919 - Carrington Road Brickworks Landfill Site
53920,53920 - New Hey Works Landfill Site
53928,53928 - Birchenley Farm Landfill Site
53931,53931 - Landfill Site East Of Towngate Farm
53933,53933 - Brown Edge Farm Landfill Site
53940,53940 - Tong Farm Landfill Site
53941,53941 - Greenhollins Farm Inert Landfill Site
53950,53950 - Allwood House Farm
53951,53951 - Fieldhouse Road Landfill Site
53952,53952 - Moss Hall Farm Landfill Site
53956,53956 - Oldham Wastewater Treatment Works Landfill Site
53961,53961 - Fir Tree Farm Landfill Site
53978,53978 - West Clifton Marsh Lagoon
53982,53982 - Bromborough Inert Landfill
53987,53987 - Moss Side Lane Brickworks
53988,53988 - Bongs Farm Landfill Site
53989,53989 - Biddulph Sands Landfill Site
53990,53990 - Hough Mill Quarry North Landfill Site
53994,53994 - Top O'slate Quarry Landfill
53995,53995 - Horncliffe Quarry Landfill
53996,53996 - Holford Brinefields
53997,53997 - Springside Mills Landfill Site
53999,53999 - Frodsham Marsh Lagoon
54003,54003 - North Quarry
54005,54005 - William Blythe Ltd ( Hapton )
54006,54006 - Hillhouse Landfill Site
54007,54007 - Star Paper Mill
54008,54008 - Goosehouse Quarry
54010,54010 - Clayton Hall Sand Quarry L F S
54011,54011 - Chapel Hill Quarry
54012,54012 - Dalton Quarry
54013,54013 - Round ' O ' Quarry
54014,54014 - Coplow Quarry
54016,54016 - Grange Farm
54017,54017 - West & Parbold Quarries Landfill Site
54020,54020 - Lundsfield Quarry ( Thwaite Gate )
54021,54021 - Alty's Landfill Site
54022,54022 - Whitebirk L F S
54024,54024 - Great Knowley & Gorse Quarry ( Clive Hurt Plant Hire )
54025,54025 - Lightfoot Green Farm
54026,54026 - I C I Mine Subsidence
54029,54029 - Ellel Crag Quarry
54034,54034 - Lords Delph Quarry
54040,54040 - Castle House Farm Sand Quarry
54048,54048 - Bent Hall Farm L F S
54049,54049 - Midgeland Farm
54058,54058 - Holland Colliery
54059,54059 - Rough Park Quarry
54063,54063 - Kingscourt Development
54067,54067 - Penwortham Golf Club Ltd
54074,54074 - Bartles Lane
54085,54085 - Marlpit Wood
54089,54089 - Church Car Dismantlers
54096,54096 - Jameson Road Landfill Site Phase 1
54097,54097 - Clifton Marsh Landfill Site - Phase 1-3
54098,"54098 - Ulnes Walton L F S, Phase 1"
54100,54100 - Cotestones L F S
54101,54101 - Much Hoole L F S
54102,54102 - Henthorn Road Landfill Site
54103,54103 - Rowley Landfill Site
54105,54105 - Salt Ayre Landfill Site
54131,54131 - Stoney Brow Quarry
54135,54135 - William Blythe Ltd ( Church )
54155,54155 - Moss Side Landfill Site
54162,54162 - Moorfield Industrial Estate
54169,54169 - Cropper Road L F S
54214,54214 - Crag House Quarry
54218,54218 - Ince Moss Tip
54219,54219 - Seddons
54220,54220 - Standish Tip
54222,54222 - Redland Roof Tiles
54223,54223 - Sheldon Sand Quarry
54225,54225 - Cemetary Road L F S
54231,54231 - Kirkless Landfill Site
54257,54257 - Marl Road/wood Ward Road Inert Landfill
54276,54276 - Withnell Quarry
54280,"54280 - Ulnes Walton L F S, Phase 2"
54304,54304 - Rowley Landfill Site Extension
54335,54335 - Landgate Farm
54488,54488 - Round ' O ' Quarry
54489,54489 - Ulnes Walton Generation Plant
54500,54500 - Kirkless Landfill Gas Utilisation
57002,57002 - Lillyhall Landfill Stage 1
57025,57025 - Bennet Bank Landfill 25
57028,57028 - Hutbank Landfill
57037,57037 - Hotchberry Quarry
57054,57054 - Kirkby Thore Works Landfill 54
57055,57055 - Windscale Landfill North
57056,57056 - Windscale Landfill South
57071,57071 - Aldoth
57074,57074 - Overby Sand Quarry
57079,57079 - Calder Tip
57082,57082 - Cummersdale
57084,57084 - Burneside Paper Mills
57092,57092 - Walney Road
57099,57099 - Lillyhall Landfill Stage 2
57128,57128 - Calder Tip Extension
57131,57131 - Kendal Fell Quarry Phase 1a
57132,57132 - Kendal Fell Quarry Phase 2
57146,57146 - Todhills
57159,57159 - Docker Fell Landfill
57181,57181 - Ufex Landfill
57189,57189 - Willowholme Wwtw  Landfill
57211,57211 - Distington Landfill
57212,57212 - Hespin Wood
57213,57213 - South Walney Landfill
57216,57216 - Whinbank Farm
57221,57221 - W A Tinkler
57224,57224 - Ian Brown
57231,57231 - Old Chapel Works
57236,57236 - Black Bull Farm
57251,57251 - Shore Road Drigg
57253,57253 - Jacktrees Road
57255,57255 - Plumpton Quarry
57256,57256 - Brocklebank Quarry
57257,57257 - Fairthorns Lane Killington
57260,57260 - Broughton Craggs Phase 1
57268,57268 - Longlands
57275,57275 - Broughton Craggs Phase 2
57277,57277 - Dalston Factory
57282,57282 - Thackwood
57283,57283 - Galemire Quarry
57291,57291 - Docker Fell
57292,57292 - Kendal Fell Quarry Phase 1b
57297,57297 - Durranhill
57301,57301 - North Tip Extension
57306,57306 - Derwent Howe
60001,60001 - Embsay Landfill Site
60008,60008 - Skibeden Quarry Landfill Site
60021,60021 - Mcmullen Road
60022,60022 - Aycliffe Quarry East
60023,60023 - Aycliffe Church Quarry
60045,60045 - Great Yorkshire Show Ground
60053,60053 - High Rails Farm
60054,60054 - Sandygate Farm
60067,60067 - Brierton Quarry Landfill
60074,60074 - Hall Construction Services Ltd
60090,60090 - Langbaurgh Ridge Quarry
60091,60091 - Cowpen Bewley Landfill
60092,60092 - Bran Sands
60093,60093 - Clarence Works
60094,"60094 - Wilton, Perimeter Mounds"
60097,60097 - Coatham Stob Quarry
60098,60098 - Thornton Fields Farm
60105,60105 - B S Skinningrove Works
60106,60106 - Coatham Stob Farm
60109,60109 - Bitmac Landscaping Mounds
60118,60118 - Bitmac Landfill
60120,60120 - Teesside Golf Club / A66 Thornaby
60132,60132 - Carlin Howe Farm
60138,60138 - Warrenby
60141,60141 - B S Redcar Works
60142,60142 - Former B S Site South Bank
60149,60149 - Farnham Quarry
60155,60155 - Ings Lane
60157,60157 - Golden Hill Quarry
60158,60158 - Knapton Gravel Quarry
60161,60161 - West Lodge
60170,60170 - Caulklands Quarry Landfill Site
60172,60172 - Woodacre Lane
60176,60176 - Flixton Quarry
60179,60179 - Seamer Carr Landfill Site
60180,60180 - Mickleby Landfill Site
60181,60181 - Highland Quarry
60182,60182 - Bishop Middleham Quarry 2
60189,"60189 - John O' Tooles Quarry, Westerton"
60195,60195 - Lodge Quarry Landfill
60196,60196 - Hull Road Landfill
60198,60198 - Eggborough Power Ltd
60201,60201 - Stutton Road
60203,60203 - Green Lane Landfill Site
60204,60204 - Darrington Northside Landfill
60205,60205 - Hazel Grove Quarry
60206,60206 - Drome Farm
60211,60211 - Barnsdale Bar Quarry
60212,60212 - Darrington Long Lane Quarry
60213,60213 - Darrington Bentonite Quarry
60215,"60215 - Escrick Brickworks, Escrick"
60222,60222 - Coatham Stob Brickworks
60223,60223 - Station Road Landfill
60224,60224 - Durham Lane
60226,60226 - T D C Landfill At Port Clarence
60229,60229 - Claxton Landfill
60231,60231 - Stillington Tip
60236,60236 - Newport Landfill
60238,60238 - North Wood Tip
60246,60246 - Lartington Water Treatment Sludge Disposal Area
60557,60557 - Hepworth Building Products (holdings) Limited
60559,60559 - Banks Wood Open Pit Clay Site
60560,60560 - E J Lidster Construction Limited
60588,60588 - Stairfoot Landfill
60592,60592 - Bradshaw Quarry
60593,60593 - R. Armstrong
60604,60604 - Parkhill Landfill Site
60616,60616 - Parkinson - Spencer Refractories Ltd
60618,60618 - Haworth Scouring Company
60624,60624 - Gilstead Filtration Works
60628,60628 - Fields Rear Of Raikes Farm
60629,60629 - Bingley Brickworks
60632,60632 - Parkwood Off Road Centre
60652,60652 - Thornton Moor Reservoir
60655,60655 - Streethouse Farm Development
60659,60659 - Crossley Farm
60664,60664 - High Stream Head Farm
60667,60667 - Bunkers Hill Farm
60701,60701 - West Manywells Quarry
60719,60719 - Sugden End Landfill
60730,60730 - Grange House Quarry
60733,60733 - Crownest Park Quarry
60734,60734 - Hill Crest Quarry
60737,60737 - Only House Quarry
60738,60738 - Upper Pule Quarries
60742,60742 - Cromwell Quarries
60743,60743 - Swalesmoor Road Landfill
60744,60744 - Clockface Quarry Landfill Site
60745,60745 - Former Atlas Works ( South East Extension)
60748,60748 - Ash Grove Pipe Works
60750,60750 - Hilltop Colliery Landfill Site
60755,60755 - Disused Quarry
60764,60764 - James Hudson
60769,60769 - Land At Red Acre
60780,60780 - Ringby Lane Quarry Landfill
60792,60792 - Land At Copley Playing Fields
60796,60796 - Disused Railway Cutting
60801,60801 - Cromwell Bottom Landfill Site
60802,60802 - Hollins Hey Landfill Site
60813,60813 - Kirk Sandall Lock
60820,60820 - Burgy Bed Lagoons
60831,60831 - Askern Sawmills Limited
60837,60837 - Thorpe Marsh Power Station
60851,60851 - Scabba Wood Quarry
60855,60855 - E Nortcliffe & Sons Ltd
60870,60870 - Mexborough Landfill
60871,60871 - Levitt Hagg Quarry
60879,60879 - Sutton Quarry
60882,60882 - Breighton Landfill
60884,"60884 - Weel Landfill Site, Waste Wise"
60885,60885 - Humberfield Quarry Landfill Site
60886,60886 - Paull Holme Quarry
60887,60887 - Figham Pasture Landfill Site
60890,60890 - Sands Top Quarry
60891,60891 - New Feeding Pasture Landfill Site
60892,60892 - Dispit Ltd
60893,60893 - Danes Graves Landfill Site
60894,60894 - Catwick Grange Landfill Site
60896,60896 - White House Landfill
60897,60897 - Gransmoor Quarry
60898,60898 - Crosslands Quarry
60899,60899 - Newton Lodge Landfill
60900,60900 - Hutton Balk Quarry
60901,"60901 - Burnby Lane, Pocklington"
60903,60903 - Melton Ings Landfill Site
60924,60924 - Digwell Ltd
60925,60925 - Burstwick Grange Landfill Site
60926,60926 - Mill Hill Landfill Site
60927,60927 - Gransmoor Quarry - Site B
60928,60928 - Plant Pit 3
60951,60951 - Albion Lane Landfill
60952,60952 - Great Gutter Lane Landfill
60990,60990 - Deighton Tip
60991,60991 - Mount Road Landfill Site
60992,60992 - Former Blakeborough's Tip
60995,60995 - Washpit Mills
60997,60997 - Marsden Dredsing Disposal Site
60998,60998 - Wood Bottom
61005,61005 - Battyeford Lock
61025,61025 - C L M Properties Ltd
61033,61033 - Snee
61049,61049 - S & R M Peel
61050,61050 - Peace Wood
61057,61057 - Honley Wood North Side
61058,61058 - Lower Spen Valley
61121,61121 - New Howley Park Quarries
61178,61178 - Pool Paper Mill
61200,61200 - Mr J F Calder
61204,61204 - Soothill Brickworks
61241,61241 - Arthington Quarry
61244,61244 - E Williams
61274,61274 - Thorpe Quarry
61297,61297 - S Butterfield
61400,61400 - Howley Park Landfill
61419,61419 - Pool Paper Mill
61483,61483 - St Aidens Remainder O C C S Landfill
61552,61552 - Kilnhurst Flood Lock
61554,61554 - Swallownest Brickworks Quarry                                                  F
61561,61561 - Waverley Reclamation Scheme
61562,61562 - Mexborough Landfill
61563,61563 - Alick Watson Limited
61564,61564 - British Steel Engineering Steels
61567,61567 - T K Lynskey Excavations Limited
61569,61569 - Ravenfield Park Tip
61571,61571 - Former Laporte Landfill
61573,61573 - Mr M N Sargeson
61576,61576 - Trimbrim Limited
61577,61577 - Waste Recycling Group Ltd
61619,61619 - Beighton Landfill Site
61620,61620 - Douglas Road Landfill Site
61636,61636 - Houndkirk Quarry
61644,61644 - Morehall Landfill
61645,61645 - Rowell Lane Works
61651,61651 - Holmes Farm Closed Landfill
61669,61669 - Land At Greenwheel House
61670,61670 - Dyson Refractories
61700,61700 - J White & Co (tde) Ltd
61717,61717 - P J Hall
61730,61730 - Calder Vale Road Landfill
61743,61743 - Landfill 227
61747,61747 - South Elmsall Quarry
61751,61751 - Landfill Site
61793,61793 - Normanton Brick Co. Ltd
61853,61853 - Land At Stubbs Bridge
61861,61861 - Land Adj To River Calder
61904,61904 - Former Colliery And Coke Works
61924,61924 - Onyx Leigh Environmental Limited - Sheepbridge Landfill
61927,61927 - Slitting Mill Landfill
61928,61928 - Glapwell Landfill Site
61929,61929 - Onyx Leigh Environmental Limited
61931,61931 - Former Dixon Occs   - Saint Gobain Pipelines
61932,61932 - Former Coalite Smokeless Fuels Site
61948,61948 - D P Kelly
61955,61955 - Roall Lane Quarry
61960,61960 - Harworth Mining Limited - Arkwright Colliery Reclamation Site
64000,64000 - Former Monkton Cokeworks
64034,64034 - Palmersville
64035,64035 - Prestwick Landfill
64063,64063 - Marsden Quarry Landfill Site
64158,64158 - Field House Quarry
65009,65009 - Former Atlas Works ( South- Eastern Extension )
65022,65022 - Meadow Bank Farm
65052,65052 - Skelbrooke Landfill Extension
65102,65102 - Beacon Lodge Quarry
65103,65103 - Riplingham Cutting
65108,65108 - Swillington Quarries
65109,65109 - Oxbow Ash Disposal Scheme
65116,65116 - No 1 Lagoon
65118,65118 - Howden Clough Landfill Site
65140,65140 - Field Adjacent To Blackhill Quarry
65162,65162 - Land N / W Of Woodlesford Lock
65168,65168 - Gamblethorpe Landfill
65179,65179 - Delf Hill Quarry
65183,65183 - Hensall Quarry
65184,65184 - Darrington Northside Quarry
65192,65192 - Dowley Gap Landfill
65203,65203 - Hallas Rough Quarry
65214,65214 - Oxbow Lake
65501,65501 - Woodhall Quarry
65521,65521 - Station Road Site
66003,66003 - Former Staxton Sand Quarry
66008,66008 - West Tanfield Landfill
66017,66017 - Acomb Landing
66026,66026 - Barton Quarry
66067,66067 - Smaws Quarry
66206,66206 - Bishop Middleham Quarry 2
67008,67008 - Bolam Quarry
67009,67009 - Joint Stocks Quarry - Phase 1
67012,67012 - Butsfield Waste Disposal Site
67026,67026 - West Sandy Carr
67039,67039 - Scoby Scaur Waste Disposal Site
67042,67042 - East Tanfield Tip
67044,67044 - Blue House Quarry
67058,67058 - Backfield Quarry
67071,67071 - Browns Houses Quarry
67087,67087 - Todhills Landfill
67089,67089 - Land At Lowfield Farm
67108,67108 - Quickburn Quarry
67116,67116 - Crime Rigg Quarry
67117,67117 - Hett Hills Quarry
67124,67124 - Coxhoe Quarry Landfill
67125,67125 - Hill Top Quarry
67127,67127 - Cockfield Waste Disposal Site
67154,67154 - Newton Cap Brickworks
67155,67155 - St Bedes Brickworks
67167,67167 - Tilery Farm V
67192,67192 - Chapmans Well Waste Disposal Site
67233,67233 - Eastgate Quarry - Tip 6
67253,67253 - Wearhead Water Treatment
67264,67264 - Pet Haven Burial Services
67295,67295 - Alcan Pot Linings Site 2
67321,67321 - Broadoak Quarry Waste Disposal Site
67346,67346 - Merryshields Quarry
67354,67354 - Denwick Quarry
67376,67376 - Thornbrough Quarry
67387,67387 - Frankham Waste Disposal Site
67388,67388 - Harecrag Waste Disposal Site
67389,67389 - Linkhamdean Waste Disposal Site
67391,67391 - Sisters Waste Disposal Site
67392,67392 - West Woodburn Waste Disposal Site
67423,67423 - Ward Brothers Plant Hire
67433,67433 - Bothal Barns Waste Disposal Site
67440,67440 - West Allotment Metro Site
67441,67441 - Beamish Landfill Site
67443,67443 - Burnhills Landfill  ( Phase 1)
67448,67448 - Derwenthaugh Cokeworks
67460,67460 - Wardley Quarry Landfill Site
67466,67466 - Burnhills Landfill (phase 2a)
67471,67471 - Warden Law Quarry
67482,67482 - Brenkley Quarry Landfill Site
