EA_ID,SITE,ALTERNATIVES
60091,Cowpen Bewley Landfill,MP3190ZU
60092,Bran Sands,MP3790ZW
60098,Thornton Fields Farm,UP3490ZR
60158,Knapton Gravel Quarry,HP3890ZN
60170,Caulklands Quarry Landfill Site,FP3090ZD
60179,Seamer Carr Landfill Site,FP3190ZJ
60203,Green Lane Landfill Site,ZP3490ZP
60211,Barnsdale Bar Quarry,NP3590ZN
60222,Coatham Stob Brickworks,EP3090ZR
60236,Newport Landfill,VP3590ZJ
60743,Swalesmoor Road Landfill,BP3194LC
60813,Kirk Sandall Lock,EP3199ZE
60837,Thorpe Marsh Power Station,CP3091SC
60885,Humberfield Quarry Landfill Site,RP3099ZS
60893,Danes Graves Landfill Site,RP3799ZV
60894,Catwick Grange Landfill Site,DP3399ZA
61050,Peace Wood,HP3795ZJ
61552,Kilnhurst Flood Lock,AP3695ZZ
61554,Swallownest Brickworks Quarry                                                  F,AP3795ZE
61577,Waste Recycling Group Ltd,DP3795ZA
61619,Beighton Landfill Site,PP3998ZV
61793,Normanton Brick Co. Ltd,HP3298ZA
61904,Former Colliery And Coke Works,NP3198ZJ
61928,Glapwell Landfill Site,VP3398ZH
61931,Former Dixon Occs   - Saint Gobain Pipelines,VP3598ZN
61955,Roall Lane Quarry,AP3098ZG
64000,Former Monkton Cokeworks,RP3598ZH
64034,Palmersville,JP3498ZP
64158,Field House Quarry,GP3994ZQ
65022,Meadow Bank Farm,HP3994ZP
65103,Riplingham Cutting,EP3794ZW
65109,Oxbow Ash Disposal Scheme,VP3494ZM
65116,No 1 Lagoon,WP3994ZE
65118,Howden Clough Landfill Site,WP3894ZZ
65179,Delf Hill Quarry,QP3894ZG
65183,Hensall Quarry,QP3694ZL
65192,Dowley Gap Landfill,PP3592ZD
65214,Oxbow Lake,SP3392ZR
65521,Station Road Site,PP3696ZX
66003,Former Staxton Sand Quarry,MP3396ZY
66017,Acomb Landing,UP3896ZE
66026,Barton Quarry,XP3096ZS
66067,Smaws Quarry,TP3496ZX
66206,Bishop Middleham Quarry 2,RP3496ZM
67117,Hett Hills Quarry,XP3191ZA
67354,Denwick Quarry,MP3397ZQ
67376,Thornbrough Quarry,XP3997ZJ
67619,Felling Riverside - Phase 2 - Stage 1,XP3993NS
70024,W R G  Waste Services - Arlesey Landfill,MP3290NR
70046,W R G Waste Services - Brogborough Landfill,UP3790NZ
70075,Bletchley Landfill,KP3090NZ
70118,Donarbon Ltd - Dickersons,FP3190NH
70122,"M Dickerson Ltd - The Carrops, Red Lodge",CP3090NU
70130,Eye Quarry,CP3190NG
70470,Frimstone - Snettisham Carstone Quarry,VP3599NM
70478,Hainford Landfill,WP3099NR
70644,Pury End Quarry,UP3295NZ
70680,Iff Stafford Works,KP3495NG
70682,The Scotts Company (uk) Ltd Lagoon,KP3695NF
70695,Bramford Quarry,HP3395NS
70705,Euston Estates,FP3395NP
70711,A R Tilbrook Ltd - Gravel Hill,FP3295NJ
70725,The Follys Quarry,ZP3395ND
70907,Biscathorpe Landfill Site,BP3198NJ
71070,J P Callanan - Stone Lane Quarry,CP3198NQ
71105,Frimstone - Blackborough End,EP3898NE
71190,Attlebridge Landfill Site,DP3698NH
71203,Landfill Cell 4/5,YP3398NB
71235,Darmsden Hall Farm Landfill Site,JP3098NM
71334,Folly Farm Landfill,MP3494NG
73046,Dogsthorpe Landfill,JP3194NJ
73156,Rectory Farm Quarry,GP3092NZ
73217,Nettleton Bottom Quarry,FP3192NN
73230,Boston Landfill Site,ZP3392NN
73279,Cranford Landfill (extension),VP3892ND
73320,Brauncewell Quarry Landfill,AP3592NW
75001,Seearo Construction Ltd - Barrington Park Farm,AP3192NT
75027,T Taylor Agricultural Contractors - Rislip Farm,DP3792NP
75035,Premier Skip Hire - Finmere Railway Cutting,YP3692NR
75162,Pit Ppc Extension,GP3996NE
75173,Milton Landfill,KP3396NG
80002,"Wapseys Wood, Gerrards Cross",CP3296NY
80389,Fairlop Quarry (area C),YP3791NR
80505,Park Lodge Farm,GP3897NE
80558,P L A Silt Lagoons,FP3997NV
80570,Hatfield Leachate Treatment Facility,CP3397NB
80738,"Coldharbour Lane, Rainham",BP3493ET
80739,Aveley Gas Utililisation Scheme,BP3293EU
80787,"Epping Forest D C, Bobbingworth Leachate Treatment Plant",UP3293EP
83052,"Bramshill Landfill, Eversley, Rg27 0rf",HP3693ER
83085,"Tanhouse Farm, Colnbrook",ZP3193EL
83095,"Brett Aggregates, Hithermoor Farm",NP3193EE
83099,Landfill,EP3993EJ
83100,"Lower Mill Farm, Stanwell Moor",EP3593EN
83104,"Staines Road Farm, Shepperton, Tw17",EP3693EV
83123,"Stock Farm Stone Quarry, Churt, Gu10",WP3293ES
83225,Camas Building Materials,LP3090EU
83532,Beechwood Nurseries,YP3890EH
86026,Colthrop Board Mill Landfill,UP3499EV
86227,Sutton Wick,JP3399EL
86386,Ewelme No 2 Landfill - Inert Area,UP3295EM
210009,Broadcroft Quarry Landfill,DB3704MN
210011,Lulsgate Quarry,KP3031SN
210016,Enville Road Landfill,TP3331SU
210023,Trood Lane Landfill Site,VP3231SU
210026,Hulland Ward Landfill,WP3932LE
210027,Whiteball Landfill,XP3236SW
210028,Dorrington Quarry Landfill Site,YP3932LW
210030,Egstow Quarry Landfill,BP3835SU
210031,Banks Wood Quarry,BP3836SG
210033,Myton Lane Landfill,BT9798IR
210034,Weights Farm Landfill,BV3995IE
210035,Torr Quarry Landfill Site,DB3208XQ
210036,Whitehouse Farm Landfill,BW2064IW
210037,Cantley Landfill Site,BW2919IV
210038,Slinter Top Quarry,BW3052IZ
210039,Slip Inn Quarry,EB3005HJ
210041,Pendean Landfill,CP3130LQ
210044,Coldharbour Lane Landfill,CP3334LF
210048,Cross Hands Quarry Landfill Site,FP3030LP
210050,Stock Farm Stone Quarry,GP3432PW
210052,Warren Farm Landfill,KP3033LF
210053,Manor Pit Landfill,KP3130LG
210054,Flixton Quarry Waste Disposal,KP3230LT
210062,Roan Edge Landfill,MP3034SJ
210067,Middleton Site,NP3334MQ
210068,Holmsley Landfill Site,GP3092EM
210076,Lower Knighton Landfill,TP3430LJ
210078,Pury End Quarry,UP3036SH
210082,Carlton Brick Landfill Site,VP3238LC
210083,Knighton Sandpit Landfill,VP3430LP
210085,Wilberfoss Quarry Landfill,VP3634LC
210086,"Cell 5, Land At Pratts Farm Lane",VP3639SU
210087,Borrow Pits Landfill,VP3732LH
210090,Harlestone Quarry,WP3235SN
210091,Vale Road Quarry,WP3332LL
210092,Coleshill Landfill,WP3432LU
210094,Tancred Quarry,WP3532SN
210097,Sheepcote Quarry,XP3033LP
210102,Rainbow Shaw Quarry,XP3430LS
210111,Hallas Rough Qaurry,PP3138UZ
210114,Homefield Landfill Site,FP3235PA
210123,Bedhampton Landfill,NP3439PN
210130,Inworth Grange Quarry,GP3137PY
220000,Scabba Wood Gas Utilisation Plant,JB3900CX
220002,Glapwell Gas Utilisation Plant,JB3900FT
220003,Costessey Gas Generation Plant,JB3900GH
220005,Offham Quarry Landfill Gas Utilisation Plant,JB3900HF
220006,Efford Landfill Gas Utilisation Scheme,JB3900KN
220008,Enderby Warren Generation Plant,JB3900LE
220010,Sutton Generation Plant,JB3900MV
220012,Bretby Generation Plant,JB3900TQ
