name,ea_id_groups,rtn_type_groups,parameter_groups,unit_groups
Emissions Compliance Monitoring ,ECM,ECM,ECM,ECM
Pollution Inventory,PI,PI_RTA PI_RTL PI_RTW PI_OSW,PI_RTA PI_RTL PI_RTW PI_OSW,PI
