name,preferred,long_name,unicode,description,type,unit_groups
m/min,,Metres per minute,,A unit of velocity and speed,Speed (Length/Time),ECM
m/mth,,Metres per month,,A unit of velocity and speed,Speed (Length/Time),ECM
m/s,ms-1,Metres per second,,A unit of velocity and speed,Speed (Length/Time),ECM
m/wk,,Metres per week,,A unit of velocity and speed,Speed (Length/Time),ECM
m/y,m/a,Metres per year,,A unit of velocity and speed,Speed (Length/Time),ECM
mm/h,,Millimetres per hour,,A unit of velocity and speed,Speed (Length/Time),ECM
mph,,Miles per hour,,A unit of speed,Speed (Length/Time),ECM
ms-1,,Metres per second,,A unit of velocity and speed,Speed (Length/Time),ECM
ms⁻¹,ms-1,Metres per second,ms(U+207B)(U+00B9),A unit of velocity and speed,Speed (Length/Time),ECM
DegC,°C,,,A unit of temperature,Temperature,ECM
°C,,,(U+00B0)C,A unit of temperature,Temperature,ECM
K,,Kelvin,,A measure of temperature,Temperature,ECM
ºC,,Degrees Celsius,(U+00B0)C,A measure of temperature,Temperature,ECM
a,,Year,,A unit of time,Time,ECM
d,,Day,,A unit of time,Time,ECM
day,d,Day,,A unit of time,Time,ECM
h,,Hour,,A unit of time,Time,ECM
hr,h,Hour,,A unit of time,Time,ECM
min,,Minute,,A unit of time,Time,ECM
mth,,Month,,A unit of time,Time,ECM
qrt,,Quarter,,A unit of time,Time,ECM
s,,Second,,A unit of time,Time,ECM
uS,µs,Microseconds,,A unit of time,Time,ECM
us ,µs,Microseconds, ,A unit of time,Time,ECM
µs,,Microseconds,,A unit of time,Time,ECM
wk,,Week,,A unit of time,Time,ECM
y,a,Year,,A unit of time,Time,ECM
cm3,,Cubic centimetre,,A unit of volume,Volume,ECM
cm³,cm3,Cubic centimetre,cm(U+00B3),A unit of volume,Volume,ECM
l,,Litre,,A unit of volume,Volume,ECM
m3,,Cubic metre,,A unit of volume,Volume,ECM
m³,m3,Cubic metre,m(U+00B3),A unit of volume,Volume,ECM
meq,,Milliequivalents of solute per litre of solvent,,A unit of volume,Volume,ECM
ml,,Millilitre,,A unit of volume,Volume,ECM
Ml,,Megalitre,,A unit of volume,Volume,ECM
mm3,,Cubic millimetres,,A unit of volume,Volume,ECM
mm³,mm3,Cubic millimetres,mm(U+00B3),A unit of volume,Volume,ECM
ul,µl,Microlitre,,A unit of volume,Volume,ECM
µl,,Microlitre,(U+00B5)l,A unit of volume,Volume,ECM
